track,sample_id,evidence_gate,refused,original_refusal_label,reconciled_refusal_label,reason
A,PROV-012,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-013,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-014,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-015,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,C1给出了完整14条入馆管理办法，答案前7条基本有据，但在“8.”处截断，明显未完成。原 unsupported addition 未被证据支持；核心问题是截断/不完整和缺引用。
A,PROV-016,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-017,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-018,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-019,EVIDENCE_SUFFICIENT,True,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-020,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,证据支持X1、X2的学习时长、有效期/居留许可要求，并另有实习签证信息。答案对X1/X2事实正确，但没有覆盖“如何查询”以及证据中其他签证类型，属于不完整；无明显 unsupported claim。
A,PROV-021,EVIDENCE_INSUFFICIENT,True,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-022,EVIDENCE_INSUFFICIENT,False,FAILED_REFUSAL,FAILED_REFUSAL_PROXY_UNREVIEWED,Original proxy unreviewed
A,PROV-023,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-024,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-025,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-026,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-027,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-028,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
B,A17,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,C1直接给出“闭合回路中的感应电动势等于磁通量减小的速率”，答案准确复述且有[C1]。对该问题可视为简洁而完整，原 INCOMPLETE/TASK_COMPLETION 过严。
B,A15,EVIDENCE_PARTIAL,False,NONE,NO_REFUSAL_LABEL,冻结证据主要涉及显著性/第一类错误和多重检验，并未直接提供完整p值定义；答案依赖背景知识补写。且“p<α即原假设不成立”表述过强，应是“拒绝原假设”。因此既有 Evidence Gate 过宽，也有生成层 unsupported/概念表述问题。
B,A08,EVIDENCE_INSUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据几乎只有SVD页面导航/标题，没有最小二乘求解内容，Evidence Gate 不应为 sufficient。答案本身循环表述“用SVD简化SVD最小二乘”，没有解释伪逆、奇异值、秩亏/数值稳定性，生成质量也确实较差。
B,A24,EVIDENCE_PARTIAL,False,NONE,NO_REFUSAL_LABEL,证据只直接覆盖协整/误差修正模型，对单位根检验缺少直接支持。答案概念上基本正确并完成“区别”任务，但“单位根检验用于判断平稳性”等来自证据之外；引用只覆盖协整侧，属于 grounding/citation coverage 问题。
B,A26,EVIDENCE_INSUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据是渐近分析/Big-O页面，与Dijkstra负权边无关，Evidence Gate 明显误判。同时答案核心解释“负边会导致Dijkstra陷入死循环”是错误的；标准Dijkstra通常仍会终止，但贪心确定最短距离的性质会被负权破坏。属于上游+生成双重问题。
B,A02,EVIDENCE_INSUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据全部是分部积分/一元积分页面，与二重积分换元和Jacobian无关。答案还声称“新坐标系中积分区域面积保持不变”，这与Jacobian用于刻画局部面积缩放相矛盾。引用不能支持对应claim。
B,C03,EVIDENCE_INSUFFICIENT,True,WRONG_REFUSAL,REFUSAL_WITH_OTHER_FAILURE,冻结证据没有实际电话号码/邮箱，只是医院页面导航，因此“无法给出具体联系方式”作为拒答本身合理；但答案先声称“联系方式如下”，又泄露原始Markdown/图片路径，输出质量很差。原 WRONG_REFUSAL/UNSUPPORTED 不成立，主要是上游取证不足+生成格式/任务完成问题。
B,C01,EVIDENCE_INSUFFICIENT,True,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
B,G01,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,证据中存在2026量子计算相关新闻（如BBC量子运算欧洲竞争等），但答案抓取了视频的历史引子和英特尔片段，严重偏题；还把证据中的“1926年3月16日戈达德”误写成“2026年3月16日”，属于明确的错误证据解释/事实错误。
B,G02,EVIDENCE_INSUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据是创意软件、空间规划软件和软件市场，并没有“动态规划软件市场规模”。模型明确说明现有资料不足并拒答，这是正确的 grounded refusal；原 Evidence Gate=sufficient 和 Generation failure 均不成立。
B,N04,EVIDENCE_SUFFICIENT,True,WRONG_REFUSAL,WRONG_REFUSAL,冻结证据的2026人口表明确列出印度第1、中国第2，足以回答“印度”。答案却称资料没有明确指出并拒答，与证据直接冲突，是典型 WRONG_REFUSAL / evidence misuse。
B,N02,EVIDENCE_INSUFFICIENT,True,NONE,CORRECT_REFUSAL,无冻结证据，且问题“苹果公司的固定效果”本身语义不清。系统拒绝臆测、说明资料不足是合理行为，应视为 correct refusal；原 Correctness=0 / TASK_COMPLETION 为明显误判。
