sample_id,original_gate,v0_1_gate,changed,reason_codes
PROV-016,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-017,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-018,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-019,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-021,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-022,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-023,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-024,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-025,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-026,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-027,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-028,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
C01,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
