id,title,url,source_domain,crawl_time,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason,human_action,human_category,human_note
PUBEXP000061,清华大学图书馆参观接待管理办法-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1114/2614.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:04+08:00,review,图书馆服务,mixed,校内访客及接待组织者,stable,,页面正文可见《清华大学图书馆参观接待管理办法》条目，且提供了图书馆咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及服务时间（周一至周日8:00-22:00）等可用联系信息。,正文未展示该《管理办法》的具体条款、申请/接待流程、资格条件、材料、限制或可执行规则，主体内容更像规章目录/导航而非完整知识条目。,False,页面标题指向参观接待管理办法，但抓取到的正文只有栏目导航、相关规章链接和咨询方式，没有可直接复用的具体制度内容；信息价值存在但证据不足，适合复核。,,,
PUBEXP000090,通知公告,https://peace.tsinghua.edu.cn/tzgg.htm,peace.tsinghua.edu.cn,2026-08-12T19:54:53+08:00,review,校园生活,mixed,师生及来访人员,current,临时出入校园人员报备、校园参观预约或校园车证办理在哪里进入？,正文中明确列出“业务专栏”入口，包括“校园参观预约、校园车证办理、来访车辆预约、校内预约停车、临时出入校园 人员报备”，属于可复用的校园办事/资源导航。,页面主体是“通知公告”列表，内容多为“安全生产月、消防宣传月、国家安全教育日”等专题通知与活动公告，缺少具体办理流程、材料、条件、时限等可直接执行信息；服务入口与宣传通知混杂，入口价值需进一步确认。,False,本页兼具稳定业务入口和大量通知公告，但正文未展开具体办事流程，且以通知列表为主，属于混合型栏目页，先按 review 处理。,,,
PUBEXP000013,关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/8118.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:00+08:00,review,图书馆服务,current_notice,清华学生,time_sensitive,,正文可见“开馆通知”“相关参照”，并提供咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及服务时间8:00-22:00等服务入口信息。,"正文未展示2026年暑假具体开馆时间安排，主要是导航栏目、咨询方式和“读取内容中,请等待...”的加载提示；缺少可直接复用的实际开馆规则/日期/馆区信息。",False,页面标题指向暑假开馆通知，但正文中未能看到具体开馆时间，只有咨询入口和加载提示，无法确认是否形成可用的学生办事知识条目，故需复核。,,,
PUBEXP000087,清华大学图书馆维护知识产权声明-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1115/2624.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:50+08:00,review,图书馆服务,resource_directory,清华学生、读者,stable,图书馆与知识产权相关的规章、咨询电话和咨询方式是什么？,正文包含图书馆“科研支持”下的“知识产权”“开放科学”“投稿导引”等稳定入口；并给出咨询电话62782137、服务时间周一至周日8:00-22:00、邮箱ref-desk@tsinghua.edu.cn，以及当面咨询地点北馆一层总服务台和联系电话010-62788937。,正文没有展开“维护知识产权声明”的具体条款内容，主要是栏目导航和相关制度链接列表，知识产权声明本体未在页面正文中直接呈现，信息复用性受限。,False,页面可稳定提供图书馆知识产权相关入口与咨询方式，但正文缺少声明正文和可直接执行的具体规则，只是规章栏目页与链接目录，适合作为导航资源，暂不能视为完整知识条目，故判为review。,,,
PUBEXP000080,活动日历-清华大学图书馆,https://lib.tsinghua.edu.cn/hdrl.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:39+08:00,review,图书馆服务,mixed,清华学生,outdated,清华大学图书馆的咨询电话、服务时间和现场咨询地点是什么？,正文底部提供了可直接使用的图书馆咨询入口：智能问答、咨询电话62782137、服务时间周一至周日8:00-22:00、邮箱ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及联系电话010-62788937；同时页面还列出借阅、资源、空间、学习支持、科研支持等栏目入口。,页面主体是“活动日历”，列出多条按日期排列的活动/讲座信息，且抓取时最新条目集中在2026年4月至7月，属于已过去的活动日历内容，时效性强、复用性一般；页面整体为栏目聚合页，服务入口与活动信息混杂。,False,本页包含可直接使用的图书馆咨询联系方式和服务时间，具备一定学生服务入口价值；但主体是已过期的活动日历，页面以聚合和活动记录为主，稳定知识价值与入口价值不够纯粹，故判为review。,,,
PUBEXP000182,在法律与人性之间，寻找开放共享的“智慧边界”-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1375/8047.htm,lib.tsinghua.edu.cn,2026-08-12T20:02:53+08:00,review,图书馆服务,mixed,需要图书馆咨询的学生,stable,我如何联系清华图书馆开放科学或学科馆员进行咨询？,正文明确给出咨询渠道：智能问答咨询电话62782137，服务时间周一至周日8:00-22:00；邮箱ref-desk@tsinghua.edu.cn；当面咨询地点北馆一层总服务台，联系电话010-62788937；并注明可联络学科馆员提供深度咨询服务。,"页面主体并未展开“科普文章”内容，正文出现“读取内容中,请等待...”，整体更像栏目页/占位页并夹杂站点导航信息，文章可复用知识不足。",False,页面提供了图书馆咨询入口与联系方式，具备一定学生可用价值，但正文没有实际文章内容，且主要是栏目导航与通用联系方式，是否应作为稳定知识条目仍需人工确认。,,,
PUBEXP000221,专题书架：好读书 读好书——纪念钱锺书、杨绛学长暨图书馆“钱杨书屋”启用特别专题书架-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1073/8079.htm,lib.tsinghua.edu.cn,2026-08-12T20:04:15+08:00,review,图书馆服务,mixed,清华学生,stable,清华图书馆有哪些咨询方式、咨询时间和地点？,正文给出可直接使用的咨询入口：智能问答（咨询电话62782137，服务时间周一至周日8:00-22:00）、邮件咨询ref-desk@tsinghua.edu.cn、当面咨询（北馆一层总服务台，010-62788937，周一至周日8:00-22:00），并提到可联络学科馆员提供深度咨询。,"页面主体是“专题书架：好读书 读好书——纪念钱锺书、杨绛学长暨图书馆‘钱杨书屋’启用特别专题书架”，但正文实际内容几乎缺失，仅有“读取内容中,请等待...”及大量站内导航链接，实际专题书架信息不可用，且宣传/栏目成分较强。",False,页面确实包含可用的图书馆咨询方式与服务时间地点，但主体专题书架正文未展开，信息混杂且实际可复用知识不足，适合先审为review。,,,
PUBEXP000230,关于美术图书馆闭馆维修期间暂停读者服务的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1072/1939.htm,lib.tsinghua.edu.cn,2026-08-12T20:04:29+08:00,review,校园生活,mixed,全校读者,current,图书馆暂停服务期间，我可以通过哪些渠道咨询？,正文包含可用的图书馆服务入口与联系方式：智能问答、咨询电话62782137、邮箱ref-desk@tsinghua.edu.cn、当面咨询时间周一至周日8:00-22:00、地点北馆一层总服务台、电话010-62788937，以及学科馆员咨询。,"页面标题指向“美术图书馆闭馆维修期间暂停读者服务的通知”，但正文未实际呈现闭馆维修的起止时间、暂停范围、办理影响等具体可执行信息，仅见通用导航与联系方式，并出现“读取内容中,请等待...”，可用通知内容缺失，复用价值不足。",False,正文没有稳定、完整地给出该维修通知的核心办事信息，主要是通用图书馆联系方式和导航；可用但证据不足以确认该页能直接作为清晰的学生办事知识条目，故判为review。,,,
PUBEXP000249,图书馆老馆重启试运行通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/6555.htm,lib.tsinghua.edu.cn,2026-08-12T20:09:39+08:00,review,图书馆服务,mixed,清华学生和图书馆读者,unknown,图书馆咨询电话、服务时间和咨询方式是什么？,正文可直接提取到图书馆咨询入口：智能问答咨询电话62782137；服务时间周一至周日8:00-22:00；邮箱ref-desk@tsinghua.edu.cn；当面咨询服务地点为北馆一层总服务台，联系电话010-62788937。,"正文主体仅显示“读取内容中,请等待...”，未展示“老馆重启试运行”的具体安排、规则或适用范围；同时夹杂大量站内导航链接，且缺少发布日期，实际通知内容是否仍有效无法确认。",False,页面虽属图书馆通知，但正文未呈现核心试运行说明，只能确认少量咨询联系方式与服务时间；由于试运行安排缺失、时效不明，适合先review而非直接approve。,,,
PUBEXP000264,首场“学观中西”国际学术论坛在清华大学图书馆举办-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1202/7685.htm,lib.tsinghua.edu.cn,2026-08-12T20:09:54+08:00,review,图书馆服务,mixed,全校师生,stable,清华图书馆的咨询电话、服务时间和咨询地点是什么？,正文中给出了可直接使用的图书馆咨询入口：智能问答咨询电话62782137，邮件ref-desk@tsinghua.edu.cn，当面咨询服务地点为北馆一层总服务台，联系电话010-62788937，服务时间周一至周日8:00-22:00。,"页面标题是“首场‘学观中西’国际学术论坛在清华大学图书馆举办”，正文主体未见论坛报道内容，仅显示“读取内容中,请等待...”以及站点导航，整体更像新闻页/模板页而非专门服务页。",False,页面正文没有实际论坛正文，主要可用信息是图书馆通用咨询联系方式与服务时间，属于稳定资源但来源于新闻页模板，难以确认该页是否应作为独立知识条目保留，因此按审慎原则标记为review。,,,
PUBEXP000016,真人图书馆-清华大学图书馆,https://lib.tsinghua.edu.cn/tjhd/zrtsg.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:03+08:00,reject,校园生活,mixed,清华学生,current,无,页面底部提供了图书馆咨询服务信息：智能问答电话62782137、服务时间周一至周日8:00-22:00；邮件ref-desk@tsinghua.edu.cn；当面咨询地点北馆一层总服务台、电话010-62788937，且可联系学科馆员。,正文主体是“真人图书馆”推荐活动/期次列表，逐条展示第67期至第76期等活动标题与微信链接，属于活动归档与宣传内容，不是面向学生可直接复用的办事流程、政策或稳定资源入口。,False,该页核心是图书馆活动栏目页与期次回顾，主要价值在活动宣传和文章跳转；虽然附有通用咨询联系方式，但不足以构成面向学生的稳定可复用知识条目，因此不纳入。,,,
PUBEXP000015,关于美术图书馆暂停开放的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/8144.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:02+08:00,reject,图书馆服务,current_notice,图书馆读者,time_sensitive,美术图书馆暂停开放期间可以通过哪些方式咨询图书馆？,正文中提供了可联系的服务入口：智能问答、咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询（北馆一层总服务台，周一至周日8:00-22:00，电话010-62788937）。,正文主体未显示具体通知内容，仅有“读取内容中，请等待...”；没有给出美术图书馆暂停开放的具体时间、原因、范围或可执行安排，信息复用价值低且强时效。,False,页面标题是暂停开放通知，但正文缺少具体通知细节，只剩通用咨询信息，无法稳定回答学生的实际办事问题，准入价值不足。,,,
PUBEXP000039,招聘信息-清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/zpxx.htm,www.itc.tsinghua.edu.cn,2026-08-12T19:53:10+08:00,reject,非目标范围,current_notice,校内求职者/应聘者,outdated,清华大学信息化技术中心现在招聘哪些岗位？,正文列出了招聘信息条目，共7条岗位名称与发布日期：规划设计高级专员、应用运行管理高级专员、数据中心管理主管、网络运维主管、网络运维总监、规划设计总监、应用运行管理助理，均标注为2026.03.29。,页面只有岗位标题列表，没有提供面向学生可复用的办事流程、资格条件、材料、报名方式、截止时间、联系方式或稳定服务入口；内容属于招聘公告汇总，且带有明确日期，时效性强，可能已过期，不适合作为校园生活知识条目。,False,正文仅是信息化技术中心的招聘岗位列表，缺少可执行的申请规则与联系方式，也不是面向学生的稳定校园服务或资源导航，且时效性强，故拒绝。,,,
PUBEXP000009,图书借还-清华大学图书馆,https://lib.tsinghua.edu.cn/jy/tsjh.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:32+08:00,reject,图书馆服务,organization_intro,全校师生,unknown,,无可用正文知识；页面主体仅出现模板占位符与栏目名，如“{{itemf.key}}”“{{librarySubTitle}}”“{{fileValue.showName}}”，没有实际借还规则、流程或入口说明。,页面显示“应用维护中！”，且正文几乎全是未渲染的模板内容和评论占位，缺乏可复用的图书借还知识。,False,虽然标题指向图书借还服务，但正文没有提供任何可直接使用的借还流程、规则或联系方式，反而是模板占位和维护提示，不适合作为学生知识条目。,,,
PUBEXP000088,部门职能,https://peace.tsinghua.edu.cn/bmgk/bmzn.htm,peace.tsinghua.edu.cn,2026-08-12T19:54:51+08:00,reject,校园基本信息,organization_intro,全校师生,stable,清华大学党委保卫部、保卫处主要负责哪些工作？,正文明确列出保卫部（处）的部门职能，包括校园安全和秩序管理年度工作计划、安全宣传教育、消防安全管理、校园治安管理、交通管理、突发事件先期应急处置、集体户口和身份证相关事务协助等职责。,内容仅为部门职能介绍，没有可直接办理事项的流程、材料、条件、联系方式、地点或FAQ；属于机构职责说明，不是学生可复用的办事入口或资源导航。,False,页面是保卫部（处）职能概述，能说明职责范围，但缺少学生可直接使用的服务入口和办理信息，复用价值主要停留在机构介绍层面，按准入规则应拒绝。,,,
PUBEXP000084,多媒体资源推介-清华大学图书馆,https://lib.tsinghua.edu.cn/index/dmtzytj.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:42+08:00,reject,图书馆服务,resource_directory,清华学生读者,stable,,页面包含图书馆服务入口与联系方式，如智能问答、咨询电话、邮件咨询、当面咨询（北馆一层总服务台，周一至周日8:00-22:00），并列出“资源”“学习支持”“科研支持”等导航。,正文主体是按日期排列的“多媒体资源推介”文章链接列表，内容多为专题推广帖（如“音乐文化长廊”“伟大的音乐：经典收藏”等）及微信文章跳转，属于聚合式宣传/推介目录，缺少可直接复用的办事流程、规则或明确可执行的学生服务知识。,False,该页以多媒体资源推介的聚合列表为主，主要提供已发布推介文章入口，复用价值偏弱；虽含图书馆联系方式，但不足以把页面本身作为稳定的学生办事知识条目收录。,,,
PUBEXP000177,美国计算机协会（ACM）开放获取（OA）政策-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1344/5969.htm,lib.tsinghua.edu.cn,2026-08-12T20:02:48+08:00,reject,科研参与与资源导航,service_entry,清华师生,unknown,,正文仅能看到图书馆科研支持/开放科学/出版支持栏目入口，以及咨询电话、邮箱、当面咨询地点和服务时间等联系信息。,"正文主体显示“读取内容中,请等待...”，未实际呈现ACM开放获取（OA）政策内容；页面以通用导航和咨询联系方式为主，缺少可复用的具体政策、流程、条件或规则，学生无法据此直接办事或使用。",False,该页正文未加载出核心政策内容，只有通用栏目导航和咨询方式，不能稳定回答学生关于ACM OA政策的具体问题，不符合可复用知识条目准入。,,,
PUBEXP000014,2026学术图书馆未来论坛（WAL）成功举办-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1202/8145.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:01+08:00,reject,非目标范围,news_event,校内读者与图书馆关注者,time_sensitive,,正文中未提供可直接复用的办事流程、服务入口、规则或稳定资源；仅能看到图书馆通用栏目导航（借阅、资源、空间、学习支持、科研支持等）和联系方式信息。,"页面主体是“2026学术图书馆未来论坛（WAL）成功举办”的新闻标题，正文内容实际为空/仅显示“读取内容中,请等待...”，属于活动新闻宣传而非可执行知识条目。",False,该页是图书馆活动新闻页，正文未提供学生可用的具体服务、政策或入口，只有新闻标题和导航，低复用，故拒绝。,,,
PUBEXP000055,清华大学图书馆主办新刊 |《智慧图书馆（英文）》——创刊号全球征稿-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1516/8095.htm,lib.tsinghua.edu.cn,2026-08-12T19:53:58+08:00,reject,科研参与与资源导航,promotional_content,师生与读者,time_sensitive,,正文可见标题为“清华大学图书馆主办新刊 |《智慧图书馆（英文）》——创刊号全球征稿”，并出现在“最新动态”栏目下，表明这是关于新刊和征稿的信息。,页面正文未提供可复用的学生服务流程、投稿条件、材料、截止时间或稳定入口；可见内容主要是新刊发布/征稿宣传与站点导航，属于新闻/宣传性质，缺少直接可执行的办事知识。,False,该页核心是图书馆主办新刊及全球征稿的宣传性动态，不含明确可执行的学生办事或稳定资源导航；正文证据不足以形成可复用知识条目，因此拒绝。,,,
PUBEXP000140,五道口校友专享,https://lib.tsinghua.edu.cn/finance/fw/wdkxyzx.htm,lib.tsinghua.edu.cn,2026-08-12T19:58:11+08:00,reject,校园生活,policy,五道口金融学院校友,stable,,正文明确说明五道口金融学院校友凭校友卡和身份证可进入相关图书馆使用文献信息服务，并列出金融图书馆借书证开通条件、押金金额、借阅册数、借期、续借、预约、催还、逾期罚款和遗失赔偿规则。,页面受众是校友而非在校学生，属于校友专享政策说明；内容虽具体但不直接面向学生办事场景。,False,正文是稳定的校友图书馆使用政策，信息清晰但主要服务对象为五道口金融学院校友，不属于面向学生的常用办事知识条目，因此不纳入。,,,
