id,title,relevance_score,knowledge_value,category,subcategory,content_type,authority,freshness,time_sensitivity,contains_actionable_information,personal_data_risk,possible_duplicate,possible_conflict,recommended_action,reason,review_type,prompt_version,model_name,reviewed_at,source_markdown_path
THU000005,清华新闻-清华大学,28,34,其他,学校新闻,新闻,high,current,low,False,none,True,False,approve,清华大学官网新闻总览页，官方权威、内容持续更新，但主要是新闻资讯，面向校园生活的直接办事信息较少。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:37+08:00,knowledge/01_raw/THU000005_清华新闻-清华大学.md
THU000046,教学成果-清华大学,58,62,其他,教学成果与教材建设,新闻,high,possibly_outdated,low,False,none,False,False,approve,清华大学官方发布的教学成果与获奖信息，权威性高、风险低，适合作为校园知识背景资料，但对日常办事帮助有限且部分内容偏历史。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:48+08:00,knowledge/01_raw_public/THU000046_教学成果-清华大学.md
THU000022,科研项目-清华大学,58,32,其他,科研项目概览,科研信息,high,unknown,low,False,none,False,False,approve,清华官网科研项目介绍页，权威性高，内容为科研信息概览，适合作为校园知识库参考，但缺少具体办事信息。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:56+08:00,knowledge/01_raw/THU000022_科研项目-清华大学.md
THU000048,学术学位教育-清华大学,92,90,规章制度,研究生培养与学位管理,规章制度,high,current,low,True,none,False,False,approve,清华大学官方发布的研究生培养规定与配套基金、讲座等信息，权威性高，适合校园知识库。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:03+08:00,knowledge/01_raw_public/THU000048_学术学位教育-清华大学.md
THU000023,科研机构-清华大学,42,38,其他,科研机构概况,科研信息,high,current,low,False,none,False,False,approve,清华官网正式信息页，介绍校级科研机构分类和数量，权威且当前有效，但与校园生活办事关联较弱。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:10+08:00,knowledge/01_raw/THU000023_科研机构-清华大学.md
THU000031,招生就业-清华大学,76,58,其他,招生就业概况,部门介绍,high,current,medium,True,none,False,False,approve,清华官网官方招生就业页面，信息权威，包含概况和联系方式，适合校园知识库。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:19+08:00,knowledge/01_raw_public/THU000031_招生就业-清华大学.md
THU000001,清华大学,96,72,其他,清华大学官网首页,新闻,high,current,low,True,none,False,False,approve,清华大学官方首页，权威性高，包含新闻、活动、联系方式等校园相关信息，适合校园知识库收录。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:35+08:00,knowledge/01_raw/THU000001_清华大学.md
THU000032,合作交流-清华大学,56,42,其他,合作交流,部门介绍,high,current,low,True,low,False,False,approve,清华官网正式页面，内容为合作交流与国际交流概览，权威性高，适合纳入知识库但实操指引有限。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:43+08:00,knowledge/01_raw_public/THU000032_合作交流-清华大学.md
THU000002,访客-清华大学,86,72,校园办事,访客接待与参观预约,服务指南,high,current,medium,True,low,False,False,approve,清华大学官方访客页面，提供访客须知、周边交通及个人/团队预约等办事信息，适合校园生活智能体引用。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:50+08:00,knowledge/01_raw/THU000002_访客-清华大学.md
THU000033,国内合作-清华大学,48,22,其他,国内合作部门介绍,部门介绍,high,current,low,True,low,False,False,approve,清华官网官方部门介绍页，可信度高；内容以国内合作概述和联系方式为主，适合校园知识库但办事指引信息较少。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:53:56+08:00,knowledge/01_raw_public/THU000033_国内合作-清华大学.md
THU000054,奖助体系-清华大学,92,90,校园办事,研究生奖助学金与资助政策,规章制度,high,possibly_outdated,medium,True,none,False,False,approve,清华官方发布的研究生奖助与资助政策页面，适合校园办事知识库，信息权威且对新生和在校研究生有实际参考价值。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:54:03+08:00,knowledge/01_raw_public/THU000054_奖助体系-清华大学.md
THU000064,科研项目概况-清华大学,42,58,其他,科研项目概况,科研信息,high,current,low,False,none,False,False,approve,清华官网公开科研概况，权威性高，属于科研信息类参考内容，但与校园生活办事关联较弱。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:54:12+08:00,knowledge/01_raw_public/THU000064_科研项目概况-清华大学.md
THU000004,Tsinghua University,78,52,其他,学校官网首页,部门介绍,high,current,low,False,low,False,False,approve,清华大学官方英文主页，权威性高，可作为学校官网入口和基础信息来源，但可操作办事信息较少。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:54:18+08:00,knowledge/01_raw/THU000004_Tsinghua University.md
THU000055,发展概况-清华大学,58,62,校园生活,在线教育发展概况,其他,high,current,low,False,none,False,False,approve,清华官方发布的教育教学发展概况，权威性高，可作为校园学习资源背景信息参考，但不属于办事指南。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:54:28+08:00,knowledge/01_raw_public/THU000055_发展概况-清华大学.md
THU000024,科研合作-清华大学,78,62,其他,科研合作,部门介绍,high,current,low,True,low,False,False,approve,清华大学官方科研合作介绍页，权威可靠，包含对外合作与联系方式等基础信息，适合校园知识库收录。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:54:40+08:00,knowledge/01_raw/THU000024_科研合作-清华大学.md
PORTAL000001,服务指南,82,75,校园生活,校医院,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000001_服务指南.md
PORTAL000002,清华大学党政办信息办公网,82,75,校园通知,其他,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000002_清华大学党政办信息办公网.md
PORTAL000003,清华大学科研办公信息网,82,75,校园通知,信息系统,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000003_清华大学科研办公信息网.md
PORTAL000004,信息资讯-国际合作与交流处/港澳台办公室,82,75,校园办事,国际交流,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000004_信息资讯-国际合作与交流处_港澳台办公室.md
PORTAL000005,马耳他（申根） - 清华大学信息门户,82,75,校园办事,签证,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000005_马耳他（申根） - 清华大学信息门户.md
PORTAL000006,境内延期F字访问签证办事指南 - 清华大学信息门户,82,75,校园办事,签证,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000006_境内延期F字访问签证办事指南 - 清华大学信息门户.md
PORTAL000007,办事程序,82,75,校园办事,信息系统,办事指南,high,current,medium,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000007_办事程序.md
PORTAL000008,清华大学医院,82,75,校园生活,校医院,人物宣传,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000008_清华大学医院.md
PORTAL000009,2025年清华大学后勤技能标兵——房亚哲-清华大学医院,82,75,校园生活,校医院,人物宣传,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000009_2025年清华大学后勤技能标兵——房亚哲-清华大学医院.md
PORTAL000010,2025年清华大学后勤服务标兵——李英男-清华大学医院,82,75,校园生活,校医院,人物宣传,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000010_2025年清华大学后勤服务标兵——李英男-清华大学医院.md
PORTAL000011,2024年清华大学后勤服务标兵--申艳霞-清华大学医院,82,75,校园生活,校医院,人物宣传,high,outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000011_2024年清华大学后勤服务标兵--申艳霞-清华大学医院.md
PORTAL000012,校医院-清华大学医院,25,15,校园生活,校医院,其他,high,outdated,medium,False,none,False,False,reject,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000012_校医院-清华大学医院.md
PORTAL000013,校医院开展爱眼日义诊活动-清华大学医院,25,15,校园生活,校医院,活动通知,high,current,high,False,none,True,False,reject,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000013_校医院开展爱眼日义诊活动-清华大学医院.md
PORTAL000014,2023年度校级先进工作者——聂庆东-清华大学医院,82,75,校园生活,校医院,人物宣传,high,outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000014_2023年度校级先进工作者——聂庆东-清华大学医院.md
PORTAL000015,疫苗接种-清华大学医院,82,75,校园生活,校医院,服务指南,high,current,medium,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000015_疫苗接种-清华大学医院.md
PORTAL000016,校医院9价HPV、乙肝疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,current,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000016_校医院9价HPV、乙肝疫苗预约接种通知-清华大学医院.md
PORTAL000017,校医院自费9价HPV、乙肝疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000017_校医院自费9价HPV、乙肝疫苗预约接种通知-清华大学医院.md
PORTAL000018,10月份校医院自费流感疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000018_10月份校医院自费流感疫苗预约接种通知-清华大学医院.md
PORTAL000019,9月份校医院自费流感疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000019_9月份校医院自费流感疫苗预约接种通知-清华大学医院.md
PORTAL000020,校医院9价HPV疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000020_校医院9价HPV疫苗预约接种通知-清华大学医院.md
PORTAL000021,校医院第一针九价HPV疫苗预约接种通知-清华大学医院,82,75,校园生活,校医院,服务指南,high,outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000021_校医院第一针九价HPV疫苗预约接种通知-清华大学医院.md
PORTAL000022,专家就诊通知-清华大学医院,82,75,校园通知,校医院,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000022_专家就诊通知-清华大学医院.md
PORTAL000023,清华大学医院联合本草小象开展大暑顺时养生主题活动-清华大学医院,25,15,校园生活,校医院,活动通知,high,current,high,False,none,True,False,reject,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000023_清华大学医院联合本草小象开展大暑顺时养生主题活动-清华大学医院.md
PORTAL000024,健康服务零距离 | 清华大学社区卫生服务中心开展“世界家庭医生日”系列活动-清华大学医院,82,75,校园生活,校医院,活动通知,high,current,high,True,none,False,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000024_健康服务零距离 _ 清华大学社区卫生服务中心开展“世界家庭医生日”系列活动-清华大学医院.md
PORTAL000025,2025年度校级先进工作者——胡艳侠-清华大学医院,82,75,校园生活,校医院,人物宣传,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000025_2025年度校级先进工作者——胡艳侠-清华大学医院.md
PORTAL000026,2024年清华大学后勤技能标兵--李莉-清华大学医院,82,75,校园生活,校医院,人物宣传,high,outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000026_2024年清华大学后勤技能标兵--李莉-清华大学医院.md
PORTAL000027,校医院成人自费疫苗接种指南-清华大学医院,82,75,校园生活,校医院,服务指南,high,possibly_outdated,medium,True,none,True,False,review,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。,local_portal,v1,local-rules-v1,2026-08-09T20:54:50+08:00,knowledge/01_raw_portal/PORTAL000027_校医院成人自费疫苗接种指南-清华大学医院.md
