id,title,source_url,category_hint,local_classification,time_sensitivity,source_markdown_path,reason
PORTAL000016,校医院9价HPV、乙肝疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6805.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000016_校医院9价HPV、乙肝疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000017,校医院自费9价HPV、乙肝疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6763.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000017_校医院自费9价HPV、乙肝疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000018,10月份校医院自费流感疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6696.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000018_10月份校医院自费流感疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000019,9月份校医院自费流感疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6650.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000019_9月份校医院自费流感疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000020,校医院9价HPV疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6562.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000020_校医院9价HPV疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000021,校医院第一针九价HPV疫苗预约接种通知-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6463.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000021_校医院第一针九价HPV疫苗预约接种通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000022,专家就诊通知-清华大学医院,http://xyy.tsinghua.edu.cn/zjjztz1.htm,校园通知,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000022_专家就诊通知-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000023,清华大学医院联合本草小象开展大暑顺时养生主题活动-清华大学医院,http://xyy.tsinghua.edu.cn/info/1042/6900.htm,校园生活,local_reject_candidate,high,knowledge/01_raw_portal/PORTAL000023_清华大学医院联合本草小象开展大暑顺时养生主题活动-清华大学医院.md,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。
PORTAL000024,健康服务零距离 | 清华大学社区卫生服务中心开展“世界家庭医生日”系列活动-清华大学医院,http://xyy.tsinghua.edu.cn/info/1042/6872.htm,校园生活,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000024_健康服务零距离 _ 清华大学社区卫生服务中心开展“世界家庭医生日”系列活动-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000025,2025年度校级先进工作者——胡艳侠-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6866.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000025_2025年度校级先进工作者——胡艳侠-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000026,2024年清华大学后勤技能标兵--李莉-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6500.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000026_2024年清华大学后勤技能标兵--李莉-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000027,校医院成人自费疫苗接种指南-清华大学医院,http://xyy.tsinghua.edu.cn/info/1057/6757.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000027_校医院成人自费疫苗接种指南-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
