id,parent_list_id,title,url,source_domain,source_file,crawl_time,extraction_method,selector_used,content_quality_class,quality_gate_pass,old_action,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason,model,reviewed_at,prompt_version
PUBEXP000014,,2026学术图书馆未来论坛（WAL）成功举办-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1202/8145.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000014_2026学术图书馆未来论坛（WAL）成功举办-清华大学图书馆.md,2026-08-12T22:02:23+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,reject,reject,非目标范围,news_event,图书馆与学术会议关注者,time_sensitive,,无明显面向学生可复用的办事流程、服务入口、资格条件、材料、规则、FAQ或稳定资源导航。,正文为“2026学术图书馆未来论坛（WAL）成功举办”的会议新闻报道，主要叙述论坛主题、主办/协办单位、与会嘉宾发言和会议回顾，属于科研/机构活动宣传与新闻流，不提供学生可直接使用的服务或操作信息。,False,该页正文是学术图书馆会议举办报道，内容以活动回顾和嘉宾发言为主，没有可复用的学生办事或资源入口信息，按规则应拒绝。,gpt-5.4-mini,2026-08-12T22:09:11+08:00,v2_frozen
PUBEXP000015,,关于美术图书馆暂停开放的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/8144.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000015_关于美术图书馆暂停开放的通知-清华大学图书馆.md,2026-08-12T22:02:23+08:00,site_selector,#vsb_content .v_news_content,thin_content,True,reject,approve,图书馆服务,current_notice,美术图书馆读者,time_sensitive,美术图书馆什么时候暂停开放、恢复开放另行通知前还能提供什么服务？,正文说明“美术图书馆自2026年8月4日起暂停对外开放，恢复开放时间将根据施工进度另行通知”；并明确“闭馆期间，图书馆正常提供图书预约借还服务”，同时提醒关注取书通知和最新取书地点。,属于一次性闭馆通知，内容有明显时效性，恢复开放时间未定，不是长期稳定政策页。,False,正文直接提供了图书馆闭馆安排、恢复时间状态和闭馆期间借还服务入口，属于学生/读者可直接使用的办事通知，虽时效性强但可复用为当前服务信息。,gpt-5.4-mini,2026-08-12T22:09:15+08:00,v2_frozen
PUBEXP000018,,总馆、文科图书馆图书可全域预约啦！-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1073/8129.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000018_总馆、文科图书馆图书可全域预约啦！-清华大学图书馆.md,2026-08-12T22:02:25+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,approve,approve,图书馆服务,current_notice,清华师生读者,current,现在我能通过水木搜索预约哪些图书馆的图书？有没有例外、取书地点和咨询电话？,正文明确说明：自2026年6月25日起，图书馆总馆（含老馆）与人文社科图书馆的图书预约服务升级为全域预约；总馆（含老馆）和六个专业图书馆（人文社科、法律、美术、金融、建筑、经管）的所有可外借图书均可通过“水木搜索”提交预约请求；读者可任选就近取书地点；并给出各取书地点、咨询电话和服务时间。,无明显负面证据；内容为明确可执行的图书预约服务通知，非新闻宣传或成果报道。,False,页面直接提供学生可用的图书预约规则、适用范围、例外说明、取书地点和联系方式，属于高复用的校园服务通知，可作为图书馆服务知识条目收录。,gpt-5.4-mini,2026-08-12T22:09:17+08:00,v2_frozen
PUBEXP000021,,常见问题（FAQ）,https://lib.tsinghua.edu.cn/finance/gk/cjwt_FAQ_.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000021_常见问题（FAQ）.md,2026-08-12T22:02:26+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,faq,清华师生及金融学院校友,stable,金融图书馆开放时间、入馆条件、借书权限和数据库怎么使用？,正文以FAQ形式给出可直接复用的服务信息：金融图书馆开放时间为周一至周五8:00—22:00、周末14:00—22:00；说明了谁可以使用、入馆证件要求、借书权限开通方式、馆际通还规则、期刊借阅规则、闭架预约借还流程、24小时还书窗口、数据库使用方式以及咨询电话和邮箱。,无明显新闻、宣传或成果类内容；仅有“2013年3月25日”“20年8月27日更新”等时间标注，未影响正文所提供的可执行服务信息。,False,本页正文直接提供图书馆服务的常见问题解答，包含开放时间、使用资格、借阅流程、数据库与联系方式等可复用信息，适合作为面向学生的校园办事知识条目。,gpt-5.4-mini,2026-08-12T22:09:17+08:00,v2_frozen
PUBEXP000022,,清华大学法律图书馆,https://lib.tsinghua.edu.cn/law/index.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000022_清华大学法律图书馆.md,2026-08-12T22:02:26+08:00,trafilatura,,detail_content,True,approve,approve,校园生活,mixed,全校师生，尤其法学院学生,current,法律图书馆暑假什么时候开馆？闭馆期间能否预约借书？,正文明确给出暑假轮休期开馆安排，并说明“闭馆期间法律图书馆提供预约书服务”；同时介绍法律图书馆是“清华大学法学学术资源与信息服务中心”，以法学文献资源、学科服务和环境设施支持全校师生教学科研，属于可复用的校园资源与服务信息。,正文中夹杂毕业生借阅图书展出、数据库/馆藏介绍等宣传性或资源简介内容，且部分信息带有时点性；但核心仍包含可直接使用的图书馆服务入口与安排。,False,页面不是纯新闻，而是法律图书馆的服务与资源页面，包含可直接使用的开馆安排、闭馆期间预约书服务以及图书馆资源定位信息，能稳定回答学生常见办事问题，因此准入。,gpt-5.4-mini,2026-08-12T22:09:23+08:00,v2_frozen
PUBEXP000023,,服务,https://lib.tsinghua.edu.cn/arts/fw/jygz.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000023_服务.md,2026-08-12T22:02:26+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,policy,美术学院及其他清华读者,stable,美术图书馆怎么借书、续借、还书和缴费？,正文明确给出借还规则、读者服务台位置、自助借书机、预约外借流程、续借方式、通还服务范围、借阅数量与期限、逾期使用费标准、在线/线下缴费方式、遗失赔偿办理地点以及预约馆内阅览和文印服务信息。,无明显负面证据；页面为稳定的图书馆服务与规则说明，不是新闻或宣传。,False,页面直接提供图书借还、预约、续借、缴费和赔偿等可复用办事规则，属于面向学生和读者的稳定图书馆服务知识条目。,gpt-5.4-mini,2026-08-12T22:09:25+08:00,v2_frozen
PUBEXP000024,,借阅导引,https://lib.tsinghua.edu.cn/arts/jydy.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000024_借阅导引.md,2026-08-12T22:02:27+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,procedure_guide,美术学院师生及其他校内读者,stable,美术图书馆什么时候开馆？怎么借书、还书、续借和预约馆内阅览？,正文明确给出开馆时间（周一至周五8:00～21:00，周六9:30～17:00，周日闭馆），借还规则（读者服务台、自助借书机、预约外借、网上续借、通还服务）、借阅数量与期限、预约取书保留3天、闭架书刊预约馆内阅览流程等可直接执行的信息。,无明显新闻、宣传或过期失效内容；页面以可操作的借阅规则和流程为主。,False,该页正文提供了清晰、稳定、可复用的图书借阅与阅览办理流程、时间、地点、限制条件和续借预约规则，能直接回答学生办事问题，符合准入。,gpt-5.4-mini,2026-08-12T22:09:27+08:00,v2_frozen
PUBEXP000025,,参考咨询,https://lib.tsinghua.edu.cn/finance/fw/ckzx.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000025_参考咨询.md,2026-08-12T22:02:27+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,resource_directory,读者/师生,stable,我在使用清华大学图书馆时遇到问题，应该去哪里咨询、怎么联系参考咨询服务？,正文明确说明参考咨询服务“负责解答读者在利用图书馆过程中产生的各种问题”，并列出可用入口：金融图书馆四层总服务台当面咨询、电话咨询（62772511）、图书馆主页右上角咨询栏目；还给出电子资源咨询、学科馆员参考咨询及若干学科导航资源入口。,无明显负面证据；页面不是新闻宣传，而是稳定的咨询与资源导航说明。,False,正文直接提供图书馆参考咨询的服务范围、咨询方式、联系方式和相关资源导航，属于学生可复用的稳定校园服务信息，可作为知识条目保留。,gpt-5.4-mini,2026-08-12T22:09:32+08:00,v2_frozen
PUBEXP000026,,毕业&迎新,https://lib.tsinghua.edu.cn/finance/fw/by/a2026nyxj.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000026_毕业&迎新.md,2026-08-12T22:02:27+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,mixed,毕业生与校友,time_sensitive,毕业后还能怎么进入金融图书馆、能使用哪些资源？,正文明确写出毕业后进入金融馆的证件要求：可出示五道口金融学院校友办发的实体校友卡或清华大学电子校友卡；并列出毕业后可使用的资源，包括馆舍空间、馆内设施设备、馆内阅览的中外文图书/期刊/论文/特藏资料，以及开放获取资源、OpenSign公益性学术资源服务平台（THU校友版）、水木搜索和数据库导航中的免费资源。,页面同时包含2026年毕业赠书活动和高借阅图书展等带具体日期的活动通知，属于时效性内容；但不影响其中可复用的毕业后入馆与资源使用信息。,False,本页不仅是活动宣传，还直接提供毕业后进入金融馆的证件条件、可使用资源范围和检索入口，能稳定回答毕业生的实际办事与资源使用问题，符合准入。,gpt-5.4-mini,2026-08-12T22:09:36+08:00,v2_frozen
PUBEXP000027,,自助服务,https://lib.tsinghua.edu.cn/finance/fw/zzfw.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000027_自助服务.md,2026-08-12T22:02:28+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,service_entry,清华大学读者/学生,stable,清华大学金融图书馆有哪些自助服务，服务地点和咨询方式是什么？,正文明确列出自助借书、自助缴纳过期罚款、自助文印、24小时自助还书等服务；给出服务地点“金融学院1号楼4层”、咨询电话“62772511”；并说明缴纳罚款需一卡通余额充足、24小时还书窗口的使用时间、还书范围和操作办法。,页面开头有浏览器版本提示，但不影响主体内容；无新闻宣传、无成果报道、无明显过期失效通知。,False,本页直接提供了图书馆可复用的自助服务入口、办理条件、地点和联系方式，能够稳定回答学生/读者的实际办事问题，符合准入。,gpt-5.4-mini,2026-08-12T22:09:39+08:00,v2_frozen
PUBEXP000029,,失物招领,https://lib.tsinghua.edu.cn/law/fw/blss/swzl.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000029_失物招领.md,2026-08-12T22:02:28+08:00,site_selector,.ar_article,thin_content,True,approve,approve,校园生活,service_entry,法律图书馆读者/学生,stable,我在法律图书馆馆内丢了东西，应该去哪里找？,正文明确说明：读者在馆内遗失的物品统一放置在二层服务台；如寻找或拾到馆内遗失物品，可到二层服务台咨询或联系 62772955；未认领物品每半年移交校保卫处。,无,False,页面提供了明确、可直接使用的失物招领服务入口、地点、联系方式和处理规则，属于可复用的校园服务信息，适合纳入知识库。,gpt-5.4-mini,2026-08-12T22:09:41+08:00,v2_frozen
PUBEXP000030,,2026年图书馆接收毕业生赠书通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1073/8106.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000030_2026年图书馆接收毕业生赠书通知-清华大学图书馆.md,2026-08-12T22:02:29+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,review,reject,图书馆服务,current_notice,毕业生,outdated,毕业生可以在什么时间、地点向图书馆赠书？,正文明确给出毕业季赠书活动的接收时间、地点和联系方式：北馆、人文社科图书馆、美术图书馆、金融图书馆、法律图书馆，以及毕业嘉年华现场和老馆136捐赠接待室的接收安排；还说明赠书可获得“赠书卡”与“书香清华”数字图书馆阅读卡。,这是2026年6月15日至6月30日的毕业季活动通知，且爬取时间为2026-08-12，活动时间已结束，属于明显过期且不再可执行的通知。,False,页面提供的是具体赠书接收安排，属于可复用的学生服务信息，但其执行时间已过、当前无法办理，因此按过期通知拒绝入库。,gpt-5.4-mini,2026-08-12T22:09:46+08:00,v2_frozen
PUBEXP000034,,中心简介,https://www.itc.tsinghua.edu.cn/zxgk/zxjj.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000034_中心简介.md,2026-08-12T22:02:29+08:00,site_selector,#vsb_content,detail_content,True,reject,reject,非目标范围,organization_intro,全校师生,stable,,正文说明信息化技术中心的成立背景、隶属关系和职责：承担学校信息化基础设施的运行服务与建设开发工作。,正文主要是机构历史、职能概述和发展愿景宣传，没有给出学生可直接使用的办事流程、服务入口、联系方式、地点时间、FAQ或明确规则，也不是稳定的资源导航页面。,False,这是机构简介页，内容以历史沿革和宣传性愿景为主，缺少可复用的学生办事信息或稳定服务入口，不能作为面向学生的知识条目。,gpt-5.4-mini,2026-08-12T22:09:46+08:00,v2_frozen
PUBEXP000036,,手牵手教手机，心连心助养老——运行服务党支部“为群众办实事”实践活动,https://www.itc.tsinghua.edu.cn/info/1003/2209.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000036_手牵手教手机，心连心助养老——运行服务党支部“为群众办实事”实践活动.md,2026-08-12T22:02:29+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,reject,reject,非目标范围,news_event,党支部成员及活动相关人员,outdated,,正文只描述了信息化技术中心运行服务党支部于2026年6月8日至6月24日在熊知行楼老年活动中心开展助老志愿服务，内容包括教老人使用手机基础功能、微信、扫码付款、线上挂号等。,这是一次已结束的实践活动报道，核心是活动过程和宣传总结，没有面向学生可复用的办事流程、稳定服务入口、申请条件或长期可执行资源。,False,页面属于已结束的志愿服务新闻回顾，主要叙述党建实践和活动成效，不提供可稳定复用的学生办事或校园资源信息，故不予收录。,gpt-5.4-mini,2026-08-12T22:09:50+08:00,v2_frozen
PUBEXP000038,,信息化技术中心、网络研究院开展端午节前安全检查,https://www.itc.tsinghua.edu.cn/info/1004/2206.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000038_信息化技术中心、网络研究院开展端午节前安全检查.md,2026-08-12T22:02:30+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,reject,reject,非目标范围,news_event,本单位教职工,outdated,,正文仅说明信息化技术中心、网络研究院在端午节前对李兆基科技大楼、信息科学技术楼、建筑馆北楼所属区域进行了安全检查，检查了用电安全、接线板、灭火器、消防通道等，并提醒离校前切断电源。,这是一次节前安全检查的新闻报道，主要是活动过程和检查结果，缺少可复用的学生办事流程、服务入口、办理条件、材料、地点时间或FAQ，不属于面向学生可直接使用的知识条目，且内容已过时。,False,正文为一次性安全检查新闻，面向本单位内部管理，未提供学生可复用的办事或服务信息，因此应拒绝。,gpt-5.4-mini,2026-08-12T22:09:53+08:00,v2_frozen
PUBEXP000040,,联系我们,https://www.itc.tsinghua.edu.cn/lxwm.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000040_联系我们.md,2026-08-12T22:02:31+08:00,site_selector,#vsb_content,detail_content,True,approve,approve,网络与信息化,service_entry,在校师生及校园网/信息系统用户,stable,校园网、信息系统或教工校园卡有问题时应该联系谁，去哪里办理？,正文给出了可直接使用的服务热线、服务邮箱、接待地点和服务时间，例如校园网/信息系统电话62784859、用户服务邮箱its@tsinghua.edu.cn、用户服务大厅地点李兆基大楼东门B104室及工作时间等。,无明显负面证据；页面不是新闻、宣传或成果报道，而是明确的联系方式与办理信息。,False,正文提供了面向学生和校园用户可直接使用的联系渠道、办理地点与时间，属于稳定可复用的校园信息化服务入口，满足准入。,gpt-5.4-mini,2026-08-12T22:09:54+08:00,v2_frozen
PUBEXP000042,,开馆时间-清华大学图书馆,https://lib.tsinghua.edu.cn/kgsj.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000042_开馆时间-清华大学图书馆.md,2026-08-12T22:02:30+08:00,site_selector,.m-txt2,detail_content,True,approve,approve,图书馆服务,service_entry,清华学生和读者,stable,清华大学图书馆各馆的开馆时间是什么？,页面直接列出图书馆主页、馆藏目录查询系统、自助还书服务“24小时开放”，并分别给出老馆、西馆、北馆及各分馆的具体开放时间、服务点位置、周末安排和联系电话，可直接用于学生查询和到馆安排。,仅提示节假日及特殊时期需关注通知公告，属于补充说明；未见新闻、宣传或成果类内容。,False,正文提供了清华大学图书馆各馆及分馆的稳定开放时间、地点和联系方式，属于学生可直接使用的服务信息，满足可复用知识条目标准。,gpt-5.4-mini,2026-08-12T22:09:57+08:00,v2_frozen
PUBEXP000043,,馆际互借-清华大学图书馆,https://lib.tsinghua.edu.cn/jy/gjhj.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000043_馆际互借-清华大学图书馆.md,2026-08-12T22:02:31+08:00,trafilatura,,detail_content,True,reject,reject,图书馆服务,mixed,清华学生,current,,正文中仅能识别到少量栏目字样，如“学科馆员”“教师顾问”“学科资源导航”，以及“应用维护中！”。,页面内容大量为模板/占位符（如{{...}}），没有馆际互借的流程、条件、材料、费用、联系方式或可执行入口；正文也未形成稳定可复用的学生办事知识，且显示“应用维护中！”说明当前不可用。,False,该页正文没有提供可直接用于学生办事的馆际互借知识，只是模板残片并提示维护中，无法作为有效知识条目收录。,gpt-5.4-mini,2026-08-12T22:10:01+08:00,v2_frozen
PUBEXP000048,,开放科学-清华大学图书馆,https://lib.tsinghua.edu.cn/kyzc/kfkx.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000048_开放科学-清华大学图书馆.md,2026-08-12T22:02:33+08:00,trafilatura,,detail_content,True,approve,approve,科研参与与资源导航,resource_directory,学生/科研人员,stable,我想查清华大学图书馆提供的开放获取政策、开放科学相关文章和工作组联系方式，该看哪个页面？,页面明确分为“出版支持”“科普文章”“政策研究”“时事追踪”等板块，列出 IEEE、ACM、IWA、RSC、CUP 等开放获取（OA）政策链接，并提供清华大学图书馆开放科学工作组邮箱 opens@mail.tsinghua.edu.cn，属于可直接使用的资源导航。,页面同时包含多篇带日期的“时事追踪”和文章列表，具有一定资讯/宣传性质，但不影响其作为稳定资源导航的可用性。,False,正文不是单纯新闻，而是一个面向开放科学与开放获取支持的稳定导航页，能直接帮助学生查找出版支持政策、相关研究资料和联系入口，符合可复用知识条目标准。,gpt-5.4-mini,2026-08-12T22:10:02+08:00,v2_frozen
